agno;mes;dia;pmen;tmax;tmin
2005;9;18;42;18.1;4.7
2005;10;18;7.6;21.9;6.5
2005;11;18;0;26.5;9.4
2005;12;18;0;27.3;9.9
2006;1;18;0;28.9;12.4
2006;2;18;13;29.2;11.9
2006;3;18;0;28.3;11.7
2006;4;18;0;26.2;8
2006;5;18;0;23.7;9.8
2006;6;18;18.5;21.5;9.2
2006;7;18;126.2;19.5;7.8
2006;8;18;7.5;20.4;7.8
2006;9;18;0;23.2;8.6
2006;10;18;6;24.9;10.1
2006;11;18;0;27.5;10.5
2006;12;18;0;27;10
2007;1;18;0;29.3;12.6
2007;2;18;0;27.3;10.4
2007;3;18;0;27.1;10.9
2007;4;18;0;25.6;9.8
2007;5;18;0;21.2;5.7
2007;6;18;100.5;17.3;4.3
2007;7;18;32.2;17.4;4.4
2007;8;18;10.5;16.7;2.9
2007;9;18;0;22.1;6.9
2007;10;18;0;24.8;8.3
2007;11;18;0;26.8;10
2007;12;18;0;28;11.1
2008;1;18;0;29.6;13
2008;2;18;4.5;29.6;12.5
2008;3;18;0;28.7;11.9
2008;4;18;0;25.8;9.8
2008;5;18;85.2;21.5;7.1
2008;6;18;102.5;19.2;6.2
2008;7;18;28;19.8;6.1
2008;8;18;201.5;17.7;4.7
2008;9;18;2.5;21;6.4
2008;10;18;0;24.2;8.2
2008;11;18;0;27.8;9.7
2008;12;18;0;28.5;11
2009;1;18;0;28.7;11.2
2009;2;18;0;29.1;11.5
2009;3;18;0;29;11.6
2009;4;18;0;28.5;11.1
2009;5;18;9;24.3;8.9
2009;6;18;54;20.2;6.1
2009;7;18;56;18.2;4.6
2009;8;18;92.7;19.7;6.5
2009;9;18;7;18.9;4.8
2009;10;18;0;24.4;8.1
2009;11;18;0;25.5;9.6
2009;12;18;0;28.6;10.6
2010;1;18;1.5;29.9;12.4
2010;2;18;0;29;10.7
2010;3;18;0;28.6;10.7
2010;4;18;0;24.4;8.7
2010;5;18;105.1;21.2;6.5
2010;6;18;84.6;18.1;5.4
2010;7;18;24;15.7;3.2
2010;8;18;7.2;21.3;6.4
2010;9;18;25.7;19.9;5.8
2010;10;18;0;23.5;7.5
2010;11;18;1.3;25.9;8.7
2010;12;18;0;27.1;9
2011;1;18;0;29.1;11.2
2011;2;18;5.2;28.9;11.9
2011;3;18;0;27.4;10.2
2011;4;18;2;26.3;9.7
2011;5;18;0;25.2;8.3
2011;6;18;184.5;16.4;4.6
2011;7;18;22.9;17;4.1
2011;8;18;42;17.4;5
2011;9;18;0;20.8;6.3
