agno,mes,dia,pmen,tmax,tmin
1997,2,3,0,29.3,15
1997,3,3,0,27.1,13.8
1997,4,3,0,26,11.2
1997,5,3,3.8,23.3,10.6
1997,6,3,255.6,17.6,8.7
1997,7,3,17,19.6,7.6
1997,8,3,211.2,21.4,8.3
1997,9,3,4.4,21.2,8.9
1997,10,3,45.4,21.7,9.2
1997,11,3,0,25.8,11.8
1997,12,3,0,27.3,13.7
1998,1,3,0,30.4,15.7
1998,2,3,0,27.4,14.5
1998,3,3,0,27.9,14.3
1998,4,3,4.8,22.9,11.7
1998,5,3,4.8,23.6,9.5
1998,6,3,7,20.2,7.7
1998,7,3,0.8,20.6,6
1998,8,3,0,22,6.2
1998,9,3,0,22,7.4
1998,10,3,0,25.2,10.1
1998,11,3,0,26.3,11.1
1998,12,3,0,28.2,13.4
1999,1,3,0,27,13.5
1999,2,3,0,28.7,14.4
1999,3,3,3,27.4,12.7
1999,4,3,0.5,25.6,10.5
1999,5,3,12,22.5,8.4
1999,6,3,12.5,19.6,7
1999,7,3,0,18.9,5.2
1999,8,3,38.2,20.3,6.8
1999,9,3,46.8,19.8,7.9
1999,10,3,14.5,22.9,9.7
1999,11,3,0,26.5,12.1
1999,12,3,0,28.2,13.9
2000,1,3,0,29,14.7
2000,2,3,0,29.3,15.3
2000,3,3,0,28,14
2000,4,3,0.4,24.9,11.1
2000,5,3,14.8,21.2,8.3
2000,6,3,138.4,17.7,7.6
2000,7,3,15.4,19.9,6.8
2000,8,3,0,21.6,7.8
2000,9,3,87.9,20.8,8.3
2000,10,3,0,24.7,11.6
2000,11,3,0,26.6,13.6
2000,12,3,0,28.5,14.7
2001,1,3,0,29.1,14.8
2001,2,3,0,29.3,15.3
2001,3,3,2.6,27.4,14.5
2001,4,3,0.9,23.7,10.5
2001,5,3,28.8,20.2,8.1
2001,6,3,0,21.1,6.6
2001,7,3,135.5,19.3,7.2
2001,8,3,38.5,19.8,7.4
2001,9,3,17.2,18.7,6.8
2001,10,3,4,24.6,11.2
2001,11,3,0,26.1,10.9
2001,12,3,0,28,14
2002,1,3,0,27.9,15.8
2002,2,3,0,28.7,13.9
2002,3,3,0,28.5,15.9
2002,4,3,7.6,23.6,12
2002,5,3,101.2,20.5,10
2002,6,3,103.5,18.3,6.9
2002,7,3,101.1,19.3,7
2002,8,3,53.7,20.3,8.6
2002,9,3,0,22.7,9.6
2002,10,3,0,25.9,11
2002,11,3,0,27,11.9
2002,12,3,0,27.3,12.8
2003,1,3,0,29.3,14.2
2003,2,3,0,28.4,14.2
2003,3,3,0,28,12.7
2003,4,3,0,26.1,11.5
2003,5,3,64.3,24.1,8.7
2003,6,3,26.2,20.9,10.2
2003,7,3,13.1,19.4,7.4
2003,8,3,6.4,21.2,7.2
2003,9,3,0,25.1,10
2003,10,3,0,26.6,10.6
2003,11,3,0,27.3,12.7
2003,12,3,0,28.8,13.1
2004,1,3,0,28.8,13.5
2004,2,3,0,28.7,13.3
2004,3,3,9,28,15.3
2004,4,3,23.3,25.3,13.1
2004,5,3,0,18.7,6.5
2004,6,3,19.4,21.9,7.1
2004,7,3,70.8,19.7,6.3
2004,8,3,68.9,18.9,7.1
2004,9,3,0,23.5,8.4
2004,10,3,0,25.2,10.9
2004,11,3,2,26.1,13
2004,12,3,0,29,15.9
2005,1,3,0,29.4,15.9
2005,2,3,0,29.4,15.4
2005,3,3,0.5,27.4,13.6
2005,4,3,0,26.6,10.7
2005,5,3,35.9,21.4,9.9
2005,6,3,3.2,21.9,10.2
2005,7,3,2.9,18.7,6.3
2005,8,3,29.7,21.8,8.9
2005,9,3,17.8,20.9,7
2005,10,3,5.5,23.8,8.6
2005,11,3,0,29,11.9
2005,12,3,0,27.4,13.4
2006,1,3,0,29.8,14.3
2006,2,3,0,29.1,14.8
2006,3,3,0,27.4,12.1
2006,4,3,0.2,25.9,9.6
2006,5,3,0.3,23.7,9.2
2006,6,3,45.5,21.6,7.9
2006,7,3,64.9,19.4,7.9
2006,8,3,0,21,7.3
2006,9,3,0,25.2,8.8
2006,10,3,8.6,25.6,10.4
2006,11,3,0,26.6,12
2006,12,3,0,28.3,14.3
2007,1,3,0,29,14.5
2007,2,3,0,28.3,13.8
2007,3,3,0.2,27.2,12.7
2007,4,3,0,25.1,10.6
2007,5,3,0.5,21.3,7.9
2007,6,3,32.7,19.5,7.2
2007,7,3,2.5,21.2,7.6
2007,8,3,21.2,18.4,5.2
2007,9,3,0,20.6,6
2007,10,3,0,24.1,8.6
2007,11,3,0,26.1,10.4
2007,12,3,0,26.2,11.8
2008,1,3,0,27.3,14.2
2008,2,3,0,27.9,14.3
2008,3,3,0,27.6,13.1
2008,4,3,0,24.2,9.4
2008,5,3,14,21.9,7.3
2008,6,3,45,19.9,6.2
2008,7,3,39.5,17.1,5.5
2008,8,3,59.7,19.8,6.8
2008,9,3,3,20.9,7.6
2008,10,3,0,25.4,9.9
2008,11,3,0,26.5,11.5
2008,12,3,0,27.9,13.5
2009,1,3,0,28.4,14.8
2009,2,3,0,29,14.3
2009,3,3,0,28.6,13.9
2009,4,3,0,26.5,11.4
2009,5,3,0.7,25,10.7
2009,6,3,59,20.8,8.3
2009,7,3,3,20.5,7.7
2009,8,3,53.3,21.8,9.2
2009,9,3,0,20.2,7.4
2009,10,3,0,25.3,10.3
2009,11,3,0,27.9,12.5
2009,12,3,0,28.9,14.8
2010,1,3,0,28.9,15.3
2010,2,3,0,27.8,13.8
2010,3,3,0,26.8,14
2010,4,3,0,25.8,11
2010,5,3,43.8,22.9,9.9
2010,6,3,67.7,18.4,7.8
2010,7,3,19.2,17.5,6
2010,8,3,7.5,20.1,6.7
2010,9,3,14.3,23.3,9.5
2010,10,3,0,24.3,10.3
2010,11,3,7,26.1,11.8
2010,12,3,0,26.9,12.9
2011,1,3,0,28.7,15.2
2011,2,3,0,28,14.9
2011,3,3,0,25.5,13.9
2011,4,3,0,24.7,11.4
2011,5,3,0,18.6,8.5
2011,6,3,188.8,17,8.1
2011,7,3,42.8,19.4,7.2
2011,8,3,11.6,24.8,8.3
2011,9,3,0,24.8,10.4
2011,10,3,0.9,26.9,10.1
2011,11,3,0,27.7,11.6
2011,12,3,0,28.6,14.2
2012,1,3,0,29.7,14.4
2012,2,3,0,29.3,14.2
2012,3,3,0,24.5,13.8
2012,4,3,3.6,24.2,11.3
2012,5,3,6.3,18,9.8
2012,7,3,0,22,6.9
2012,8,3,26.8,19.7,6.6
2012,9,3,0,22.5,8.8
2012,10,3,0.9,23.6,9.5
2012,11,3,0,26.1,11.5
2012,12,3,0,28.4,13.3
2013,1,3,0,28.8,15.5
2013,2,3,0,30.2,16.7
2013,3,3,0,28.5,13.8
2013,4,3,0,25.2,10.5
2013,5,3,82.1,21.4,8.9
2013,6,3,15.3,17.6,8.9
2013,7,3,5.1,18.8,8.6
2013,8,3,3.5,21.7,9.3
2013,9,3,0,22.9,10.7
2013,10,3,0,23.6,11.8
2013,11,3,0,26.8,12.4
2013,12,3,0,27.7,15.5
2014,1,3,0,29.8,16.9
2014,2,3,0,25.9,14.3
2014,3,3,0,25.5,12.8
2014,4,3,0,22.8,10.5
2014,5,3,0,21.1,10.7
2014,6,3,64.6,16,6.4
2014,7,3,0,17.9,8
2014,8,3,3.5,20,8.7
2014,9,3,5,17.3,7.6
2014,10,3,0,22.8,10.9
2014,11,3,0,26.9,15.1
2014,12,3,0,28.8,17.3
2015,1,3,0,27.6,17
2015,2,3,0,27.8,16.3
2015,3,3,19.5,27.6,16.7
2015,4,3,0,26.2,15.2
2015,5,3,0.3,23.6,10.9
2015,6,3,0,22.3,9.2
2015,7,3,54.2,19.4,8.7
2015,8,3,108.9,18.7,7.3
2015,9,3,6.6,19.9,6.8
2015,10,3,52,22.2,8.3
2015,11,3,0,23.6,8.8
2015,12,3,0,27.3,11.7
